xcoordinaat;ycoordinaat;afstand;Topo;ZN zuid oost NAP;ZN west NAP;ZN midden NAP;ZD zuid NAP;ZD zeetoegangsgeul Rotterdam NAP;ZD zeetoegangsgeul IJmuiden NAP;ZD Noordzee NAP;ZD noord NAP;WNZ zuid NAP;WNZ noord NAP;WNN n NAP;ON zuid NAP;ON oost NAP;ON noord NAP;NN waddenzee NAP;NN lemmer delfzijl nNAP;MN zuid NAP;MN noord NAP;bodemhoogte 1 meter index
193933.799;442061.339;45.962;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.817;NoData;NoData;NoData;NoData;NoData
193934.451;442060.888;46.754;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.883;NoData;NoData;NoData;NoData;NoData
193935.102;442060.436;47.547;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.870;NoData;NoData;NoData;NoData;NoData
193935.753;442059.985;48.339;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.947;NoData;NoData;NoData;NoData;NoData
193936.404;442059.533;49.132;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.947;NoData;NoData;NoData;NoData;NoData
193937.056;442059.082;49.924;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.986;NoData;NoData;NoData;NoData;NoData
193937.707;442058.630;50.716;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.994;NoData;NoData;NoData;NoData;NoData
193938.358;442058.179;51.509;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.042;NoData;NoData;NoData;NoData;NoData
193939.009;442057.727;52.301;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.078;NoData;NoData;NoData;NoData;NoData
193939.661;442057.276;53.094;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.104;NoData;NoData;NoData;NoData;NoData
193940.312;442056.824;53.886;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.104;NoData;NoData;NoData;NoData;NoData
193940.963;442056.373;54.679;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.092;NoData;NoData;NoData;NoData;NoData
193941.614;442055.921;55.471;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.075;NoData;NoData;NoData;NoData;NoData
193942.265;442055.470;56.264;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.075;NoData;NoData;NoData;NoData;NoData
193942.917;442055.018;57.056;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.075;NoData;NoData;NoData;NoData;NoData
193943.568;442054.567;57.848;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.997;NoData;NoData;NoData;NoData;NoData
193944.219;442054.115;58.641;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.109;NoData;NoData;NoData;NoData;NoData
193944.870;442053.664;59.433;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.063;NoData;NoData;NoData;NoData;NoData
193945.522;442053.212;60.226;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.079;NoData;NoData;NoData;NoData;NoData
193946.173;442052.761;61.018;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.079;NoData;NoData;NoData;NoData;NoData
193946.824;442052.309;61.811;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.045;NoData;NoData;NoData;NoData;NoData
193947.475;442051.858;62.603;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.019;NoData;NoData;NoData;NoData;NoData
193948.127;442051.406;63.396;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.034;NoData;NoData;NoData;NoData;NoData
193948.778;442050.955;64.188;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.612;NoData;NoData;NoData;NoData;NoData
193949.429;442050.503;64.980;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;3.612;NoData;NoData;NoData;NoData;NoData
193950.080;442050.052;65.773;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.523;NoData;NoData;NoData;NoData;NoData
