xcoordinaat;ycoordinaat;afstand;Topo;ZN zuid oost NAP;ZN west NAP;ZN midden NAP;ZD zuid NAP;ZD zeetoegangsgeul Rotterdam NAP;ZD zeetoegangsgeul IJmuiden NAP;ZD Noordzee NAP;ZD noord NAP;WNZ zuid NAP;WNZ noord NAP;WNN n NAP;ON zuid NAP;ON oost NAP;ON noord NAP;NN waddenzee NAP;NN lemmer delfzijl nNAP;MN zuid NAP;MN noord NAP;bodemhoogte 1 meter index
200648.577;431482.970;267.118;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.696;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200650.795;431487.950;272.569;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.594;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200653.014;431492.929;278.021;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.493;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200655.232;431497.909;283.472;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.388;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200657.450;431502.889;288.924;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.267;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200659.668;431507.868;294.375;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.108;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200661.887;431512.848;299.826;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.941;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200664.105;431517.828;305.278;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.855;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200666.323;431522.807;310.729;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.748;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200668.542;431527.787;316.181;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.608;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200670.760;431532.766;321.632;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.487;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200672.978;431537.746;327.083;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.394;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200675.197;431542.726;332.535;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.280;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200677.415;431547.705;337.986;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.218;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200679.633;431552.685;343.438;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.157;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200681.852;431557.665;348.889;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.091;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200684.070;431562.644;354.340;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.032;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200686.288;431567.624;359.792;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.928;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200688.506;431572.604;365.243;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.802;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200690.725;431577.583;370.694;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.608;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200692.943;431582.563;376.146;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.372;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200695.161;431587.542;381.597;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.177;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200697.380;431592.522;387.049;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;0.228;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200699.598;431597.502;392.500;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;1.172;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200701.816;431602.481;397.951;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;2.882;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200704.035;431607.461;403.403;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.097;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200706.253;431612.441;408.854;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;4.959;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200708.471;431617.420;414.306;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;5.538;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200710.690;431622.400;419.757;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.214;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200712.908;431627.380;425.208;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.631;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200715.126;431632.359;430.660;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;6.725;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200717.344;431637.339;436.111;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200719.563;431642.318;441.563;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200721.781;431647.298;447.014;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200723.999;431652.278;452.465;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200726.218;431657.257;457.917;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
200728.436;431662.237;463.368;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData;NoData
